Name,Status,Neutral,Warehouse,Latitude,Code,Longitude,SubLevel,LocationType,Area,Volume,Level,LWH,LocationStatus,Location
node10363,active,1,5,2,Q7-CEN-10364,1,,2,Q7,100,1,10x10x10,0,SC09 H 03
node10364,active,1,5,2,Q7-CEN-10365,1,,2,Q7,100,1,10x10x10,0,SC09 H 05
node10365,active,1,5,2,Q7-CEN-10366,1,,2,Q7,100,1,10x10x10,0,SC09 H 07
node10366,active,1,5,2,Q7-CEN-10367,1,,2,Q7,100,1,10x10x10,0,SC09 H 09
node10367,active,1,5,2,Q7-CEN-10368,1,,2,Q7,100,1,10x10x10,0,SC09 H 11
node10368,active,1,5,2,Q7-CEN-10369,1,,2,Q7,100,1,10x10x10,0,SC09 H 12
node10369,active,1,5,2,Q7-CEN-10370,1,,2,Q7,100,1,10x10x10,0,SC09 H 14
node10370,active,1,5,2,Q7-CEN-10371,1,,2,Q7,100,1,10x10x10,0,SC09 H 16
node10371,active,1,5,2,Q7-CEN-10372,1,,2,Q7,100,1,10x10x10,0,SC09 H 18
node10372,active,1,5,2,Q7-CEN-10373,1,,2,Q7,100,1,10x10x10,0,SC09 H 20
node10373,active,1,5,2,Q7-CEN-10374,1,,2,Q7,100,1,10x10x10,0,SC09 H 22
node10374,active,1,5,2,Q7-CEN-10375,1,,2,Q7,100,1,10x10x10,0,SC09 J 01
node10375,active,1,5,2,Q7-CEN-10376,1,,2,Q7,100,1,10x10x10,0,SC09 J 03
node10376,active,1,5,2,Q7-CEN-10377,1,,2,Q7,100,1,10x10x10,0,SC09 J 05
node10377,active,1,5,2,Q7-CEN-10378,1,,2,Q7,100,1,10x10x10,0,SC09 J 07
node10378,active,1,5,2,Q7-CEN-10379,1,,2,Q7,100,1,10x10x10,0,SC09 J 09
node10379,active,1,5,2,Q7-CEN-10380,1,,2,Q7,100,1,10x10x10,0,SC09 J 11
node10380,active,1,5,2,Q7-CEN-10381,1,,2,Q7,100,1,10x10x10,0,SC09 J 12
node10381,active,1,5,2,Q7-CEN-10382,1,,2,Q7,100,1,10x10x10,0,SC09 J 14
node10382,active,1,5,2,Q7-CEN-10383,1,,2,Q7,100,1,10x10x10,0,SC09 J 16
node10383,active,1,5,2,Q7-CEN-10384,1,,2,Q7,100,1,10x10x10,0,SC09 J 18
node10384,active,1,5,2,Q7-CEN-10385,1,,2,Q7,100,1,10x10x10,0,SC09 J 20
node10385,active,1,5,2,Q7-CEN-10386,1,,2,Q7,100,1,10x10x10,0,SC09 J 22
node10386,active,1,5,2,Q7-CEN-10387,1,,2,Q7,100,1,10x10x10,0,SC09 K 01
node10387,active,1,5,2,Q7-CEN-10388,1,,2,Q7,100,1,10x10x10,0,SC09 K 03
