Status,Neutral,Warehouse,Guid,Code,Type,Area,SubNode,Name,Latitude,Longitude,LevelId,LevelName,Node,RegionId,RegionName
active,1,04,1,Q7-CEN-01,bin,CEN,,node00,0,0,2,tang 2,root,1,warehouse1
active,1,04,2,Q7-CEN-02,bin,CEN,,node01,0,1,2,tang 2,root,1,warehouse1
active,1,04,3,Q7-CEN-03,bin,CEN,,node02,0,2,2,tang 2,root,1,warehouse1
active,1,04,4,Q7-CEN-04,bin,CEN,,node03,0,3,2,tang 2,root,1,warehouse1
active,1,04,5,Q7-CEN-05,bin,CEN,,node04,0,4,2,tang 2,root,1,warehouse1
active,1,04,6,Q7-CEN-06,bin,CEN,,node05,0,5,2,tang 2,root,1,warehouse1
active,1,04,7,Q7-CEN-07,bin,CEN,,node06,0,6,2,tang 2,root,1,warehouse1
active,1,04,8,Q7-CEN-08,bin,CEN,,node07,0,7,2,tang 2,root,1,warehouse1
active,1,04,9,Q7-CEN-09,bin,CEN,,node08,0,8,2,tang 2,root,1,warehouse1
active,1,04,10,Q7-CEN-10,bin,CEN,,node09,0,9,2,tang 2,root,1,warehouse1
active,1,04,11,Q7-CEN-11,bin,CEN,,node10,0,10,2,tang 2,root,1,warehouse1
active,1,04,12,Q7-CEN-12,bin,CEN,,node11,0,11,2,tang 2,root,1,warehouse1
active,1,04,13,Q7-CEN-13,bin,CEN,,node12,0,12,2,tang 2,root,1,warehouse1
active,1,04,14,Q7-CEN-14,bin,CEN,,node13,0,13,2,tang 2,root,1,warehouse1
active,1,04,15,Q7-CEN-15,bin,CEN,,node14,0,14,2,tang 2,root,1,warehouse1
active,1,04,16,Q7-CEN-16,bin,CEN,,node15,0,15,2,tang 2,root,1,warehouse1
active,1,04,17,Q7-CEN-17,bin,CEN,,node16,0,16,2,tang 2,root,1,warehouse1
active,1,04,18,Q7-CEN-18,bin,CEN,,node17,0,17,2,tang 2,root,1,warehouse1
active,1,04,19,Q7-CEN-19,bin,CEN,,node18,0,18,2,tang 2,root,1,warehouse1
active,1,04,20,Q7-CEN-20,bin,CEN,,node19,0,19,2,tang 2,root,1,warehouse1
active,1,04,21,Q7-CEN-21,bin,CEN,,node20,0,20,2,tang 2,root,1,warehouse1
active,1,04,22,Q7-CEN-22,bin,CEN,,node21,0,21,2,tang 2,root,1,warehouse1
active,1,04,23,Q7-CEN-23,bin,CEN,,node22,0,22,2,tang 2,root,1,warehouse1
active,1,04,24,Q7-CEN-24,bin,CEN,,node23,0,23,2,tang 2,root,1,warehouse1
active,1,04,25,Q7-CEN-25,bin,CEN,,node24,0,24,2,tang 2,root,1,warehouse1
active,1,04,26,Q7-CEN-26,bin,CEN,,node25,0,25,2,tang 2,root,1,warehouse1
active,1,04,27,Q7-CEN-27,bin,CEN,,node26,0,26,2,tang 2,root,1,warehouse1
active,1,04,28,Q7-CEN-28,bin,CEN,,node27,0,27,2,tang 2,root,1,warehouse1
active,1,04,29,Q7-CEN-29,bin,CEN,,node28,1,0,2,tang 2,root,1,warehouse1
active,1,04,30,Q7-CEN-30,bin,CEN,,node29,1,1,2,tang 2,root,1,warehouse1
active,1,04,31,Q7-CEN-31,bin,CEN,,node30,1,2,2,tang 2,root,1,warehouse1
active,1,04,32,Q7-CEN-32,bin,CEN,,node31,1,3,2,tang 2,root,1,warehouse1
active,1,04,33,Q7-CEN-33,bin,CEN,,node32,1,4,2,tang 2,root,1,warehouse1
active,1,04,34,Q7-CEN-34,bin,CEN,,node33,1,5,2,tang 2,root,1,warehouse1
active,1,04,35,Q7-CEN-35,bin,CEN,,node34,1,6,2,tang 2,root,1,warehouse1
active,1,04,36,Q7-CEN-36,bin,CEN,,node35,1,7,2,tang 2,root,1,warehouse1
active,1,04,37,Q7-CEN-37,bin,CEN,,node36,1,8,2,tang 2,root,1,warehouse1
active,1,04,38,Q7-CEN-38,bin,CEN,,node37,1,9,2,tang 2,root,1,warehouse1
active,1,04,39,Q7-CEN-39,bin,CEN,,node38,1,10,2,tang 2,root,1,warehouse1
active,1,04,40,Q7-CEN-40,bin,CEN,,node39,1,11,2,tang 2,root,1,warehouse1
active,1,04,41,Q7-CEN-41,bin,CEN,,node40,1,12,2,tang 2,root,1,warehouse1
active,1,04,42,Q7-CEN-42,bin,CEN,,node41,1,13,2,tang 2,root,1,warehouse1
active,1,04,43,Q7-CEN-43,bin,CEN,,node42,1,14,2,tang 2,root,1,warehouse1
active,1,04,44,Q7-CEN-44,bin,CEN,,node43,1,15,2,tang 2,root,1,warehouse1
active,1,04,45,Q7-CEN-45,bin,CEN,,node44,1,16,2,tang 2,root,1,warehouse1
active,1,04,46,Q7-CEN-46,bin,CEN,,node45,1,17,2,tang 2,root,1,warehouse1
