Latitude,Longitude,Neutral,Code,Name,Type,SubNode,Warehouse,Area,Status,Level,Guid,Node
1,6,1,CEN-DN-50,node49,bin,a,41,Room 0,active,2,37d1a1a2-84b1-466d-b64f-527f2d9dc907,root
1,7,1,CEN-DN-51,node50,bin,a,41,Room 0,active,2,ec131ffe-27ad-4044-b46c-474ee0d3bd26,root
1,8,1,CEN-DN-52,node51,bin,a,41,Room 0,active,2,2ed4279b-5d3a-4597-850f-21f68dec557d,root
1,9,1,CEN-DN-53,node52,bin,a,41,Room 0,active,2,dd6febbf-ea1f-4215-bceb-b1bec05d0da5,root
1,10,1,CEN-DN-54,node53,bin,a,41,Room 0,active,2,dddd6521-f97f-4aae-9974-1342e10452f5,root
1,11,1,CEN-DN-55,node54,bin,a,41,Room 0,active,2,9eebe267-ff2e-4150-836d-d46b736e664c,root
1,12,1,CEN-DN-56,node55,bin,a,41,Room 0,active,2,0e303a1b-7d0f-4c7c-899d-9f43564c03cd,root
1,13,1,CEN-DN-57,node56,bin,a,41,Room 0,active,2,32c52054-9717-4fca-89b7-32804f344c98,root
1,14,1,CEN-DN-58,node57,bin,a,41,Room 0,active,2,4e3e10ec-94aa-48ed-acfe-fdfff9141ff3,root
1,15,1,CEN-DN-59,node58,bin,a,41,Room 0,active,2,987bb251-24fa-4b99-86ca-edfe4b58d5c0,root
1,16,1,CEN-DN-60,node59,bin,a,41,Room 0,active,2,eb92b742-7855-44e5-a409-464531a2667d,root
1,17,1,CEN-DN-61,node60,bin,a,41,Room 0,active,2,d5643aff-ab19-4374-8a33-588eaaffb56a,root
1,18,1,CEN-DN-62,node61,bin,a,41,Room 0,active,2,e75ece6f-4045-4a81-8eb2-d5f338c4b0ee,root
1,19,1,CEN-DN-63,node62,bin,a,41,Room 0,active,2,68060023-6035-48eb-af2a-06fee668c598,root
1,20,1,CEN-DN-64,node63,bin,a,41,Room 0,active,2,047bde42-4a64-4713-b8f4-9044a141085a,root
1,21,1,CEN-DN-65,node64,bin,a,41,Room 0,active,2,ab4af827-7208-478f-ac77-54a497353e17,root
1,22,1,CEN-DN-66,node65,bin,a,41,Room 0,active,2,264a7e27-b38b-41fd-901c-4cdb77c84f21,root
1,23,1,CEN-DN-67,node66,bin,a,41,Room 0,active,2,a73d0bb1-b498-4028-8143-b25a8568a792,root
1,24,1,CEN-DN-68,node67,bin,a,41,Room 0,active,2,2fe24b80-89f8-42fb-856e-5e262021ad2d,root
1,25,1,CEN-DN-69,node68,bin,a,41,Room 0,active,2,089f96ef-87dc-4101-9fe5-ed4c029b2039,root
1,26,1,CEN-DN-70,node69,bin,a,41,Room 0,active,2,00ca1bf0-8e01-4230-bdf1-7de7e81ffb3a,root
1,27,1,CEN-DN-71,node70,bin,a,41,Room 0,active,2,d363939e-36fa-4d60-8ad0-a6ffd3268214,root
1,28,1,CEN-DN-72,node71,bin,a,41,Room 0,active,2,2af225a4-b83c-4f66-b8fb-36428f49400d,root
1,29,1,CEN-DN-73,node72,bin,a,41,Room 0,active,2,936ccc64-c78a-4dc0-9c2d-541d75f45456,root
1,30,1,CEN-DN-74,node73,bin,a,41,Room 0,active,2,0241f633-0b87-4137-b67f-f832e772c6de,root
1,31,1,CEN-DN-75,node74,bin,a,41,Room 0,active,2,4dea2d9f-82f9-4e3a-9c46-b56c497ae510,root
1,32,1,CEN-DN-76,node75,bin,a,41,Room 0,active,2,1f064e2b-c992-40c8-923b-f8de339f42fb,root
1,33,1,CEN-DN-77,node76,bin,a,41,Room 0,active,2,f5f0b3a1-a141-4c12-92f0-28ad7a9ef21f,root
1,34,1,CEN-DN-78,node77,bin,a,41,Room 0,active,2,b1b22199-1cd3-42c6-a082-777cce8914da,root
1,35,1,CEN-DN-79,node78,bin,a,41,Room 0,active,2,c441b808-f870-4983-8031-0eced4a18d90,root
1,36,1,CEN-DN-80,node79,bin,a,41,Room 0,active,2,70f6f14b-1858-41c3-b494-bb865c597270,root
1,37,1,CEN-DN-81,node80,bin,a,41,Room 0,active,2,1d0cf7ff-f0b1-4673-838f-7830f7b64c6d,root
1,38,1,CEN-DN-82,node81,bin,a,41,Room 0,active,2,8fac5ad0-670c-4b6c-98e2-45047749775f,root
1,39,1,CEN-DN-83,node82,bin,a,41,Room 0,active,2,b97fa4e4-b57a-45ed-8ab0-7fcbd7da9070,root
1,40,1,CEN-DN-84,node83,bin,a,41,Room 0,active,2,8b630ab0-201f-4f5c-8132-117e872d1755,root
1,41,1,CEN-DN-85,node84,bin,a,41,Room 0,active,2,cb2ef788-54e8-4b07-8439-0944d435c234,root
1,42,1,CEN-DN-86,node85,bin,a,41,Room 0,active,2,acf8a9e8-412a-433d-8f94-4a8d006827cb,root
2,0,1,CEN-DN-87,node86,bin,a,41,Room 0,active,2,5efff4a1-7d90-4e17-b3f4-abc239063be5,root
2,1,1,CEN-DN-88,node87,bin,a,41,Room 0,active,2,ee8db478-4a37-4fbf-ae25-5f4a2387972b,root
2,2,1,CEN-DN-89,node88,bin,a,41,Room 0,active,2,dfb5a594-72f5-4279-b778-384ca9b48258,root
2,3,1,CEN-DN-90,node89,bin,a,41,Room 0,active,2,7ecae4d7-2422-47c6-bd50-f7d6ed3faadf,root
2,4,1,CEN-DN-91,node90,bin,a,41,Room 0,active,2,989d7e8c-a6fd-4230-99c0-02f5a119ccce,root
2,5,1,CEN-DN-92,node91,bin,a,41,Room 0,active,2,1597f95b-2a92-4c0b-911c-3158554befc1,root
2,6,1,CEN-DN-93,node92,bin,a,41,Room 0,active,2,06ace253-cef2-4e51-a4a0-10ff0f3d33a3,root
2,7,1,CEN-DN-94,node93,bin,a,41,Room 0,active,2,8612b3bd-8dbb-41a5-a443-a01b1fe44a70,root
2,8,1,CEN-DN-95,node94,bin,a,41,Room 0,active,2,287368cc-2490-4b5b-9702-9e3c5fef2bb3,root
2,9,1,CEN-DN-96,node95,bin,a,41,Room 0,active,2,8eae4317-f2df-4c80-aed7-7a5b39b51e70,root
2,10,1,CEN-DN-97,node96,bin,a,41,Room 0,active,2,16baa893-7fc5-4dd1-89c2-0f5b8303124f,root
2,11,1,CEN-DN-98,node97,bin,a,41,Room 0,active,2,7167e9c8-68c6-4ef3-ac9b-18307c8db5d9,root
2,12,1,CEN-DN-99,node98,bin,a,41,Room 0,active,2,2f866e66-370b-4f38-b775-1f3d85f15389,root
2,13,1,CEN-DN-100,node99,bin,a,41,Room 0,active,2,ecc78e51-cd59-4fec-a23a-cd24039cd992,root
2,14,1,CEN-DN-101,node100,bin,a,41,Room 0,active,2,3329105a-6ab7-487c-a0ca-20ac95e45fe9,root
2,15,1,CEN-DN-102,node101,bin,a,41,Room 0,active,2,71793667-fb22-4ee7-8438-39f5dd5f6122,root
2,16,1,CEN-DN-103,node102,bin,a,41,Room 0,active,2,b8c0bc9d-27f1-4ea6-ab9b-64c376b5fe7d,root
2,17,1,CEN-DN-104,node103,bin,a,41,Room 0,active,2,dbcdf349-5a25-4e26-9019-d54d80445d21,root
