Id,Status,Neutral,Warehouse,Code,Type,Area,SubNode,Latitude,Longitude,LevelId,LevelName,RegionId,RegionName
1,active,1,02,ws-,bin,Area1,[],0,0,1,Floor1,1,warehouse 1
2,active,1,02,ws-,bin,Area2,[],1,0,1,Floor1,1,warehouse 1
3,active,1,02,ws-,bin,Area3,[],2,0,1,Floor1,1,warehouse 1
4,active,1,02,ws-,bin,Area4,[],3,0,1,Floor1,1,warehouse 1
5,active,1,02,ws-,bin,Area5,[],4,0,1,Floor1,1,warehouse 1
6,active,1,02,ws-,bin,Area6,[],5,0,1,Floor1,1,warehouse 1
7,active,1,02,ws-,bin,Area7,[],6,0,1,Floor1,1,warehouse 1
8,active,1,02,ws-,bin,Area8,[],7,0,1,Floor1,1,warehouse 1
9,active,1,02,ws-,bin,Area9,[],8,0,1,Floor1,1,warehouse 1
10,active,1,02,ws-,bin,Area10,[],9,0,1,Floor1,1,warehouse 1
11,active,1,02,ws-,bin,Area11,[],10,0,1,Floor1,1,warehouse 1
12,active,1,02,ws-,bin,Area12,[],11,0,1,Floor1,1,warehouse 1
13,active,1,02,ws-,bin,Area13,[],12,0,1,Floor1,1,warehouse 1
14,active,1,02,ws-,bin,Area14,[],13,0,1,Floor1,1,warehouse 1
15,active,1,02,ws-,bin,Area15,[],14,0,1,Floor1,1,warehouse 1
16,active,1,02,ws-,bin,Area16,[],15,0,1,Floor1,1,warehouse 1
17,active,1,02,ws-,bin,Area17,[],16,0,1,Floor1,1,warehouse 1
18,active,1,02,ws-,bin,Area18,[],17,0,1,Floor1,1,warehouse 1
19,active,1,02,ws-,bin,Area19,[],18,0,1,Floor1,1,warehouse 1
20,active,1,02,ws-,bin,Area20,[],19,0,1,Floor1,1,warehouse 1
21,active,1,02,ws-,bin,Area21,[],20,0,1,Floor1,1,warehouse 1
22,active,1,02,ws-,bin,Area22,[],21,0,1,Floor1,1,warehouse 1
23,active,1,02,ws-,bin,Area23,[],22,0,1,Floor1,1,warehouse 1
24,active,1,02,ws-,bin,Area24,[],23,0,1,Floor1,1,warehouse 1
25,active,1,02,ws-,bin,Area25,[],24,0,1,Floor1,1,warehouse 1
26,active,1,02,ws-,bin,Area26,[],25,0,1,Floor1,1,warehouse 1
27,active,1,02,ws-,bin,Area27,[],26,0,1,Floor1,1,warehouse 1
28,active,1,02,ws-,bin,Area28,[],27,0,1,Floor1,1,warehouse 1
29,active,1,02,ws-,bin,Area29,[],28,0,1,Floor1,1,warehouse 1
30,active,1,02,ws-,bin,Area30,[],29,0,1,Floor1,1,warehouse 1
31,active,1,02,ws-,bin,Area31,[],30,0,1,Floor1,1,warehouse 1
32,active,1,02,ws-,bin,Area32,[],31,0,1,Floor1,1,warehouse 1
33,active,1,02,ws-,bin,Area33,[],32,0,1,Floor1,1,warehouse 1
34,active,1,02,ws-,bin,Area34,[],33,0,1,Floor1,1,warehouse 1
35,active,1,02,ws-,bin,Area35,[],34,0,1,Floor1,1,warehouse 1
36,active,1,02,ws-,bin,Area36,[],35,0,1,Floor1,1,warehouse 1
37,active,1,02,ws-,bin,Area37,[],36,0,1,Floor1,1,warehouse 1
38,active,1,02,ws-,bin,Area38,[],37,0,1,Floor1,1,warehouse 1
39,active,1,02,ws-,bin,Area39,[],38,0,1,Floor1,1,warehouse 1
40,active,1,02,ws-,bin,Area40,[],39,0,1,Floor1,1,warehouse 1
41,active,1,02,ws-,bin,Area41,[],40,0,1,Floor1,1,warehouse 1
42,active,1,02,ws-,bin,Area42,[],41,0,1,Floor1,1,warehouse 1
43,active,1,02,ws-,bin,Area43,[],42,0,1,Floor1,1,warehouse 1
44,active,1,02,ws-,bin,Area44,[],43,0,1,Floor1,1,warehouse 1
45,active,1,02,ws-,bin,Area45,[],44,0,1,Floor1,1,warehouse 1
46,active,1,02,ws-,bin,Area46,[],45,0,1,Floor1,1,warehouse 1
47,active,1,02,ws-,bin,Area47,[],46,0,1,Floor1,1,warehouse 1
48,active,1,02,ws-,bin,Area48,[],47,0,1,Floor1,1,warehouse 1
49,active,1,02,ws-,bin,Area49,[],48,0,1,Floor1,1,warehouse 1
50,active,1,02,ws-,bin,Area50,[],49,0,1,Floor1,1,warehouse 1
51,active,1,02,ws-,bin,Area51,[],50,0,1,Floor1,1,warehouse 1
52,active,1,02,ws-,bin,Area52,[],51,0,1,Floor1,1,warehouse 1
53,active,1,02,ws-,bin,Area53,[],52,0,1,Floor1,1,warehouse 1
54,active,1,02,ws-,bin,Area54,[],53,0,1,Floor1,1,warehouse 1
55,active,1,02,ws-,bin,Area55,[],0,1,1,Floor1,1,warehouse 1
56,active,1,02,ws-,bin,Area56,[],1,1,1,Floor1,1,warehouse 1
57,active,1,02,ws-,bin,Area57,[],2,1,1,Floor1,1,warehouse 1
58,active,1,02,ws-,bin,Area58,[],3,1,1,Floor1,1,warehouse 1
59,active,1,02,ws-,bin,Area59,[],4,1,1,Floor1,1,warehouse 1
60,active,1,02,ws-,bin,Area60,[],5,1,1,Floor1,1,warehouse 1
61,active,1,02,ws-,bin,Area61,[],6,1,1,Floor1,1,warehouse 1
62,active,1,02,ws-,bin,Area62,[],7,1,1,Floor1,1,warehouse 1
63,active,1,02,ws-,bin,Area63,[],8,1,1,Floor1,1,warehouse 1
64,active,1,02,ws-,bin,Area64,[],9,1,1,Floor1,1,warehouse 1
65,active,1,02,ws-,bin,Area65,[],10,1,1,Floor1,1,warehouse 1
66,active,1,02,ws-,bin,Area66,[],11,1,1,Floor1,1,warehouse 1
67,active,1,02,ws-,bin,Area67,[],12,1,1,Floor1,1,warehouse 1
68,active,1,02,ws-,bin,Area68,[],13,1,1,Floor1,1,warehouse 1
69,active,1,02,ws-,bin,Area69,[],14,1,1,Floor1,1,warehouse 1
70,active,1,02,ws-,bin,Area70,[],15,1,1,Floor1,1,warehouse 1
71,active,1,02,ws-,bin,Area71,[],16,1,1,Floor1,1,warehouse 1
72,active,1,02,ws-,bin,Area72,[],17,1,1,Floor1,1,warehouse 1
73,active,1,02,ws-,bin,Area73,[],18,1,1,Floor1,1,warehouse 1
74,active,1,02,ws-,bin,Area74,[],19,1,1,Floor1,1,warehouse 1
75,active,1,02,ws-,bin,Area75,[],20,1,1,Floor1,1,warehouse 1
76,active,1,02,ws-,bin,Area76,[],21,1,1,Floor1,1,warehouse 1
77,active,1,02,ws-,bin,Area77,[],22,1,1,Floor1,1,warehouse 1
78,active,1,02,ws-,bin,Area78,[],23,1,1,Floor1,1,warehouse 1
79,active,1,02,ws-,bin,Area79,[],24,1,1,Floor1,1,warehouse 1
80,active,1,02,ws-,bin,Area80,[],25,1,1,Floor1,1,warehouse 1
81,active,1,02,ws-,bin,Area81,[],26,1,1,Floor1,1,warehouse 1
82,active,1,02,ws-,bin,Area82,[],27,1,1,Floor1,1,warehouse 1
83,active,1,02,ws-,bin,Area83,[],28,1,1,Floor1,1,warehouse 1
84,active,1,02,ws-,bin,Area84,[],29,1,1,Floor1,1,warehouse 1
85,active,1,02,ws-,bin,Area85,[],30,1,1,Floor1,1,warehouse 1
86,active,1,02,ws-,bin,Area86,[],31,1,1,Floor1,1,warehouse 1
87,active,1,02,ws-,bin,Area87,[],32,1,1,Floor1,1,warehouse 1
88,active,1,02,ws-,bin,Area88,[],33,1,1,Floor1,1,warehouse 1
89,active,1,02,ws-,bin,Area89,[],34,1,1,Floor1,1,warehouse 1
90,active,1,02,ws-,bin,Area90,[],35,1,1,Floor1,1,warehouse 1
91,active,1,02,ws-,bin,Area91,[],36,1,1,Floor1,1,warehouse 1
92,active,1,02,ws-,bin,Area92,[],37,1,1,Floor1,1,warehouse 1
93,active,1,02,ws-,bin,Area93,[],38,1,1,Floor1,1,warehouse 1
94,active,1,02,ws-,bin,Area94,[],39,1,1,Floor1,1,warehouse 1
95,active,1,02,ws-,bin,Area95,[],40,1,1,Floor1,1,warehouse 1
